Area_Name	Year	Group_Name	Cases_Convicted	Cases_Reported
Andaman & Nicobar Islands	2001	Rape	0	3
Andhra Pradesh	2001	Rape	197	871
Arunachal Pradesh	2001	Rape	2	33
Assam	2001	Rape	101	817
Bihar	2001	Rape	155	888
Chandigarh	2001	Rape	2	18
Chhattisgarh	2001	Rape	158	959
Dadra & Nagar Haveli	2001	Rape	1	6
Daman & Diu	2001	Rape	0	0
Delhi	2001	Rape	29	381
Goa	2001	Rape	10	12
Gujarat	2001	Rape	26	286
Haryana	2001	Rape	94	398
Himachal Pradesh	2001	Rape	30	124
Jammu & Kashmir	2001	Rape	7	169
Jharkhand	2001	Rape	99	567
Karnataka	2001	Rape	41	293
Kerala	2001	Rape	32	562
Lakshadweep	2001	Rape	0	0
Madhya Pradesh	2001	Rape	589	2851
Maharashtra	2001	Rape	125	1302
Manipur	2001	Rape	0	20
Meghalaya	2001	Rape	0	26
Mizoram	2001	Rape	32	52
Nagaland	2001	Rape	2	17
Odisha	2001	Rape	117	790
Puducherry	2001	Rape	0	9
Punjab	2001	Rape	81	298
Rajasthan	2001	Rape	266	1049
Sikkim	2001	Rape	1	8
Tamil Nadu	2001	Rape	84	423
Tripura	2001	Rape	13	102
Uttar Pradesh	2001	Rape	697	1958
Uttarakhand	2001	Rape	30	74
West Bengal	2001	Rape	45	709
Andaman & Nicobar Islands	2002	Rape	1	2
Andhra Pradesh	2002	Rape	120	1002
Arunachal Pradesh	2002	Rape	0	38
Assam	2002	Rape	99	970
Bihar	2002	Rape	116	1040
Chandigarh	2002	Rape	1	18
Chhattisgarh	2002	Rape	585	992
Dadra & Nagar Haveli	2002	Rape	2	4
Daman & Diu	2002	Rape	0	0
Delhi	2002	Rape	98	403
Goa	2002	Rape	8	12
Gujarat	2002	Rape	39	267
Haryana	2002	Rape	92	361
Himachal Pradesh	2002	Rape	22	137
Jammu & Kashmir	2002	Rape	11	192
Jharkhand	2002	Rape	132	797
Karnataka	2002	Rape	35	292
Kerala	2002	Rape	29	499
Lakshadweep	2002	Rape	1	1
Madhya Pradesh	2002	Rape	548	2891
Maharashtra	2002	Rape	163	1352
Manipur	2002	Rape	0	14
Meghalaya	2002	Rape	0	38
Mizoram	2002	Rape	22	76
Nagaland	2002	Rape	7	17
Odisha	2002	Rape	105	691
Puducherry	2002	Rape	2	6
Punjab	2002	Rape	76	299
Rajasthan	2002	Rape	287	1051
Sikkim	2002	Rape	4	6
Tamil Nadu	2002	Rape	121	534
Tripura	2002	Rape	23	108
Uttar Pradesh	2002	Rape	708	1415
Uttarakhand	2002	Rape	32	89
West Bengal	2002	Rape	63	759
Andaman & Nicobar Islands	2003	Rape	3	2
Andhra Pradesh	2003	Rape	122	946
Arunachal Pradesh	2003	Rape	0	31
Assam	2003	Rape	105	1095
Bihar	2003	Rape	148	985
Chandigarh	2003	Rape	7	18
Chhattisgarh	2003	Rape	252	898
Dadra & Nagar Haveli	2003	Rape	1	1
Daman & Diu	2003	Rape	0	5
Delhi	2003	Rape	114	490
Goa	2003	Rape	7	31
Gujarat	2003	Rape	24	236
Haryana	2003	Rape	94	353
Himachal Pradesh	2003	Rape	28	126
Jammu & Kashmir	2003	Rape	9	211
Jharkhand	2003	Rape	131	712
Karnataka	2003	Rape	39	321
Kerala	2003	Rape	45	394
Lakshadweep	2003	Rape	0	2
Madhya Pradesh	2003	Rape	604	2738
Maharashtra	2003	Rape	190	1268
Manipur	2003	Rape	1	18
Meghalaya	2003	Rape	2	40
Mizoram	2003	Rape	18	54
Nagaland	2003	Rape	7	14
Odisha	2003	Rape	123	725
Puducherry	2003	Rape	1	2
Punjab	2003	Rape	108	380
Rajasthan	2003	Rape	283	1050
Sikkim	2003	Rape	1	10
Tamil Nadu	2003	Rape	115	557
Tripura	2003	Rape	14	114
Uttar Pradesh	2003	Rape	682	911
Uttarakhand	2003	Rape	32	107
West Bengal	2003	Rape	113	1002
Andaman & Nicobar Islands	2004	Rape	0	10
Andhra Pradesh	2004	Rape	137	1016
Arunachal Pradesh	2004	Rape	4	42
Assam	2004	Rape	127	1171
Bihar	2004	Rape	97	1390
Chandigarh	2004	Rape	0	19
Chhattisgarh	2004	Rape	240	969
Dadra & Nagar Haveli	2004	Rape	0	7
Daman & Diu	2004	Rape	0	1
Delhi	2004	Rape	98	551
Goa	2004	Rape	7	37
Gujarat	2004	Rape	40	339
Haryana	2004	Rape	93	386
Himachal Pradesh	2004	Rape	26	153
Jammu & Kashmir	2004	Rape	12	218
Jharkhand	2004	Rape	131	797
Karnataka	2004	Rape	64	291
Kerala	2004	Rape	56	480
Lakshadweep	2004	Rape	1	0
Madhya Pradesh	2004	Rape	669	2875
Maharashtra	2004	Rape	227	1388
Manipur	2004	Rape	0	31
Meghalaya	2004	Rape	2	54
Mizoram	2004	Rape	100	20
Nagaland	2004	Rape	40	18
Odisha	2004	Rape	116	770
Puducherry	2004	Rape	2	4
Punjab	2004	Rape	93	390
Rajasthan	2004	Rape	208	1038
Sikkim	2004	Rape	2	3
Tamil Nadu	2004	Rape	107	618
Tripura	2004	Rape	23	160
Uttar Pradesh	2004	Rape	660	1397
Uttarakhand	2004	Rape	41	115
West Bengal	2004	Rape	135	1475
Andaman & Nicobar Islands	2005	Rape	1	4
Andhra Pradesh	2005	Rape	154	935
Arunachal Pradesh	2005	Rape	15	35
Assam	2005	Rape	170	1238
Bihar	2005	Rape	145	1147
Chandigarh	2005	Rape	4	33
Chhattisgarh	2005	Rape	338	990
Dadra & Nagar Haveli	2005	Rape	0	5
Daman & Diu	2005	Rape	0	2
Delhi	2005	Rape	140	658
Goa	2005	Rape	7	20
Gujarat	2005	Rape	37	324
Haryana	2005	Rape	96	461
Himachal Pradesh	2005	Rape	24	141
Jammu & Kashmir	2005	Rape	5	201
Jharkhand	2005	Rape	117	753
Karnataka	2005	Rape	87	343
Kerala	2005	Rape	48	478
Lakshadweep	2005	Rape	0	0
Madhya Pradesh	2005	Rape	702	2921
Maharashtra	2005	Rape	177	1545
Manipur	2005	Rape	0	25
Meghalaya	2005	Rape	2	63
Mizoram	2005	Rape	15	37
Nagaland	2005	Rape	15	17
Odisha	2005	Rape	114	799
Puducherry	2005	Rape	3	6
Punjab	2005	Rape	71	398
